student_id,full_name,birth_date,gender,enrollment_date,class_level,section,status,average_grade,absences_count,teacher_id
STU0052,Saad Tahiri,28/06/2006,M,23/10/2018,1ère,B,Actif,12.92,24,TCH013
STU0053,Meryem Mansouri,14/07/2009,F,03/07/2022,6ème,Économie,Diplômé,5.88,2,TCH012
STU0054,Khadija Moussaoui,21/02/2000,F,06/06/2023,1ère,Économie,Diplômé,11.6,23,TCH015
STU0055,Sara Akram,27/11/2006,F,14/03/2023,6ème,Sciences,Redoublant,16.01,37,TCH009
STU0056,Karim Bennani,31/05/2008,M,09/04/2021,Terminale,Sciences,Actif,14.36,31,TCH011
STU0057,Sanaa Tahiri,14/11/2009,F,03/01/2022,3ème,Économie,Actif,8.28,,TCH007
STU0058,Khadija Tahiri,30/03/2007,F,28/08/2022,2nde,Sciences,Redoublant,16.29,14,TCH013
STU0059,Imane El Idrissi,08/10/2004,F,06/11/2022,4ème,A,Diplômé,9.45,19,TCH009
STU0060,Hamza El Idrissi,23/02/2002,M,18/11/2019,4ème,B,Actif,8.29,33,TCH020
STU0061,Hamza Fassi,23/05/2003,M,29/09/2018,1ère,Littérature,Actif,5.96,3,TCH018
STU0062,Khalil Bennani,09/06/2006,M,05/04/2020,6ème,Littérature,Redoublant,10.83,3,TCH009
STU0063,Omar El Idrissi,21/06/2006,M,13/03/2022,3ème,Économie,Transféré,6.35,19,TCH003
STU0064,Hamza Zerhouni,12/09/2008,M,06/08/2021,2nde,A,Actif,18.08,37,TCH014
STU0065,Bilal Bennani,19/12/2002,M,15/05/2022,3ème,Sciences,Actif,7.72,10,TCH001
STU0066,Zakaria Rahali,26/03/2003,M,18/08/2022,1ère,B,Redoublant,17.32,14,TCH009
STU0067,Karim Rahali,08/02/2006,M,05/12/2019,1ère,Économie,Actif,18.08,4,TCH002
STU0068,Zineb Bennani,24/05/2001,F,17/04/2021,6ème,Littérature,Diplômé,14.85,32,TCH018
STU0069,Fatima Rahali,08/10/2006,F,26/01/2020,4ème,Économie,Actif,,36,TCH019
STU0070,Nabil Akram,11/04/2005,M,29/07/2021,6ème,Littérature,Actif,18.2,37,TCH014
STU0071,Asmaa Mansouri,27/09/2003,F,19/06/2020,2nde,A,Redoublant,17.29,31,TCH010
STU0072,Nabil Akram,12/07/2003,M,30/01/2020,3ème,A,Actif,19.04,32,TCH001
STU0073,Nour Filali,25/12/2006,F,28/11/2022,1ère,Littérature,Actif,10.85,17,TCH018
STU0074,Ilyas Mansouri,30/11/2010,M,14/03/2022,Terminale,A,Redoublant,7.71,35,TCH001
STU0075,Khalil Bennani,07/04/2007,M,02/05/2023,5ème,Littérature,Transféré,18.46,17,TCH014
STU0076,Zakaria Rahali,20/04/2004,M,26/09/2019,4ème,Économie,Actif,11.88,4,TCH009
STU0077,Mehdi Oulad,04/03/2003,M,26/09/2022,4ème,Économie,Transféré,13.1,31,TCH005
STU0078,Ghita Rahali,08/02/2005,F,21/06/2020,4ème,Littérature,Diplômé,19.2,24,TCH008
STU0079,Meryem Zerhouni,30/04/2004,F,22/05/2022,6ème,Littérature,Actif,14.11,2,TCH005
STU0080,Soukaina Bouzidi,03/03/2000,F,19/09/2022,1ère,Littérature,Diplômé,17.5,4,TCH016
STU0081,Khalil Oulad,20/07/2009,M,04/07/2020,6ème,B,Diplômé,17.32,20,TCH016
STU0082,Nour Fassi,20/07/2002,F,08/11/2022,6ème,A,Actif,19.16,6,TCH015
STU0083,Karim Moussaoui,16/04/2003,M,04/09/2020,Terminale,Littérature,Transféré,6.26,36,TCH006
STU0084,Tariq Rahali,31/07/2005,M,08/12/2021,4ème,Économie,Actif,11.15,16,TCH001
STU0085,Khalil Bouzidi,14/12/2004,M,08/08/2020,3ème,Littérature,Actif,8.64,16,TCH015
STU0086,Hamza Benali,11/04/2004,M,15/11/2021,1ère,A,Transféré,8.59,1,TCH013
STU0087,Hind Bouzidi,04/05/2009,F,09/04/2020,1ère,B,Diplômé,7.57,14,TCH007
STU0088,Saad Moussaoui,17/02/2010,M,09/03/2022,4ème,Sciences,Diplômé,8.79,37,TCH012
STU0089,Rim Bouzidi,20/12/2001,F,17/10/2019,4ème,Littérature,Actif,12.36,33,TCH017
STU0090,Ghita Rahali,07/01/2009,F,24/04/2019,6ème,Littérature,Actif,5.17,14,TCH013
STU0091,Ghita Tazi,06/01/2006,F,12/05/2019,6ème,B,Redoublant,14.43,37,TCH013
STU0092,Tariq Fassi,12/12/2006,M,16/08/2023,3ème,A,Actif,9.08,4,TCH015
STU0093,Bilal Bennani,11/08/2010,M,16/11/2018,1ère,Économie,Redoublant,11.64,34,TCH005
STU0094,Saad Chraibi,05/12/2009,M,28/12/2020,3ème,B,Actif,16.92,17,TCH002
STU0095,Hamza Tahiri,31/12/2010,M,06/07/2022,Terminale,Littérature,Actif,17.98,3,TCH013
STU0096,Zakaria Zerhouni,13/03/2007,M,02/04/2022,Terminale,Économie,Actif,4.33,15,TCH005
STU0097,Hamza Akram,12/02/2009,M,18/07/2023,5ème,Économie,Actif,16.0,38,TCH001
STU0098,Amine Benali,26/03/2001,M,16/05/2022,6ème,B,Diplômé,6.04,15,TCH019
STU0099,Sanaa Bennani,24/11/2005,F,21/04/2019,2nde,A,Diplômé,11.38,32,TCH019
STU0100,Asmaa El Idrissi,19/02/2005,F,10/04/2022,3ème,A,Actif,4.94,25,TCH014
STU0101,Laila Zerhouni,27/10/2006,F,01/07/2019,3ème,Économie,Transféré,8.26,35,TCH011
STU0102,Laila Bennani,10/02/2001,F,11/02/2023,3ème,Sciences,Redoublant,17.22,35,TCH007
STU0103,Asmaa Filali,30/08/2004,F,04/10/2022,6ème,A,Actif,10.61,23,TCH005
STU0104,Meryem Chraibi,30/01/2001,F,03/11/2022,3ème,Sciences,Diplômé,16.58,37,TCH018
STU0105,Meryem Tahiri,25/09/2009,F,16/09/2022,3ème,B,Actif,8.46,6,TCH019
STU0106,Soukaina Akram,24/06/2009,F,14/10/2021,1ère,Économie,Actif,15.82,27,TCH018
STU0107,Nour Akram,28/04/2000,F,05/09/2019,1ère,Littérature,Actif,15.82,22,TCH001
STU0108,Mehdi Chraibi,23/04/2008,M,20/03/2022,4ème,Sciences,Transféré,5.42,24,TCH014
STU0109,Mehdi Tazi,27/11/2009,M,17/12/2018,2nde,Littérature,Redoublant,15.69,5,TCH009
STU0110,Meryem Tazi,01/06/2002,F,25/11/2022,5ème,Littérature,Transféré,9.35,37,TCH016
STU0111,Amine El Idrissi,01/02/2000,Femme,24/10/2019,3ème,B,Actif,7.27,16,TCH010
STU0112,Laila Akram,21/12/2005,F,12/08/2022,3ème,A,Redoublant,12.66,22,TCH003
STU0113,Youssef Mansouri,01/09/2009,male,03/06/2020,5ème,Économie,Redoublant,12.89,26,TCH010
STU0114,Laila Akram,26/12/2000,F,11/02/2021,4ème,B,Actif,7.77,33,TCH003
STU0115,Saad Akram,08/11/2000,M,12/07/2021,5ème,B,Actif,12.22,22,TCH012
STU0116,Zakaria Tazi,14/11/2002,M,10/10/2019,Terminale,Économie,Transféré,6.37,4,TCH006
STU0117,Nour Bennani,21/08/2007,F,12/08/2023,3ème,Sciences,Actif,13.85,40,TCH011
STU0118,Khalil Bouzidi,12/12/2003,M,06/07/2021,Terminale,A,Transféré,11.16,,TCH012
STU0119,Asmaa Tahiri,10/03/2005,F,02/12/2021,3ème,Économie,Actif,16.27,28,TCH019
STU0120,Nabil Moussaoui,19/01/2005,M,31/03/2019,1ère,Littérature,Redoublant,16.98,5,TCH017
STU0034,Youssef Zerhouni,17/04/2001,M,02/08/2023,1ère,Sciences,Redoublant,6.77,16,TCH002
STU0034,Youssef Zerhouni,17/04/2001,M,02/08/2023,1ère,Sciences,Redoublant,6.77,16,TCH002
STU0040,Khadija Fassi,08/11/2006,F,07/06/2023,3ème,B,Actif,11.06,36,TCH007
STU0011,Soukaina Moussaoui,15/11/2004,F,21/07/2019,6ème,Sciences,Diplômé,18.78,16,TCH017
